id,name-form,type_1,type_2,data_species,img
1820,Bellossom-Bellossom,Grass,-,Flower Pokémon,https://img.pokemondb.net/artwork/large/bellossom.jpg
1830,Marill-Marill,Water,Fairy,Aqua Mouse Pokémon,https://img.pokemondb.net/artwork/large/marill.jpg
1840,Azumarill-Azumarill,Water,Fairy,Aqua Rabbit Pokémon,https://img.pokemondb.net/artwork/large/azumarill.jpg
1850,Sudowoodo-Sudowoodo,Rock,-,Imitation Pokémon,https://img.pokemondb.net/artwork/large/sudowoodo.jpg
1860,Politoed-Politoed,Water,-,Frog Pokémon,https://img.pokemondb.net/artwork/large/politoed.jpg
1870,Hoppip-Hoppip,Grass,Flying,Cottonweed Pokémon,https://img.pokemondb.net/artwork/large/hoppip.jpg
1880,Skiploom-Skiploom,Grass,Flying,Cottonweed Pokémon,https://img.pokemondb.net/artwork/large/skiploom.jpg
1890,Jumpluff-Jumpluff,Grass,Flying,Cottonweed Pokémon,https://img.pokemondb.net/artwork/large/jumpluff.jpg
1900,Aipom-Aipom,Normal,-,Long Tail Pokémon,https://img.pokemondb.net/artwork/large/aipom.jpg
1910,Sunkern-Sunkern,Grass,-,Seed Pokémon,https://img.pokemondb.net/artwork/large/sunkern.jpg
1920,Sunflora-Sunflora,Grass,-,Sun Pokémon,https://img.pokemondb.net/artwork/large/sunflora.jpg
1930,Yanma-Yanma,Bug,Flying,Clear Wing Pokémon,https://img.pokemondb.net/artwork/large/yanma.jpg
1940,Wooper-Wooper,Water,Ground,Water Fish Pokémon,https://img.pokemondb.net/artwork/large/wooper.jpg
1941,Wooper-Paldean Wooper,Water,Ground,Poison Fish Pokémon,https://img.pokemondb.net/artwork/large/wooper-paldean.jpg
1950,Quagsire-Quagsire,Water,Ground,Water Fish Pokémon,https://img.pokemondb.net/artwork/large/quagsire.jpg
1960,Espeon-Espeon,Psychic,-,Sun Pokémon,https://img.pokemondb.net/artwork/large/espeon.jpg
1970,Umbreon-Umbreon,Dark,-,Moonlight Pokémon,https://img.pokemondb.net/artwork/large/umbreon.jpg
1980,Murkrow-Murkrow,Dark,Flying,Darkness Pokémon,https://img.pokemondb.net/artwork/large/murkrow.jpg
1990,Slowking-Slowking,Water,Psychic,Royal Pokémon,https://img.pokemondb.net/artwork/large/slowking.jpg
1991,Slowking-Galarian Slowking,Water,Psychic,Hexpert Pokémon,https://img.pokemondb.net/artwork/large/slowking-galarian.jpg
2000,Misdreavus-Misdreavus,Ghost,-,Screech Pokémon,https://img.pokemondb.net/artwork/large/misdreavus.jpg
2010,Unown-Unown,Psychic,-,Symbol Pokémon,https://img.pokemondb.net/artwork/large/unown.jpg
2020,Wobbuffet-Wobbuffet,Psychic,-,Patient Pokémon,https://img.pokemondb.net/artwork/large/wobbuffet.jpg
2030,Girafarig-Girafarig,Normal,Psychic,Long Neck Pokémon,https://img.pokemondb.net/artwork/large/girafarig.jpg
2040,Pineco-Pineco,Bug,-,Bagworm Pokémon,https://img.pokemondb.net/artwork/large/pineco.jpg
2050,Forretress-Forretress,Bug,Steel,Bagworm Pokémon,https://img.pokemondb.net/artwork/large/forretress.jpg
2060,Dunsparce-Dunsparce,Normal,-,Land Snake Pokémon,https://img.pokemondb.net/artwork/large/dunsparce.jpg
2070,Gligar-Gligar,Ground,Flying,FlyScorpion Pokémon,https://img.pokemondb.net/artwork/large/gligar.jpg
2080,Steelix-Steelix,Steel,Ground,Iron Snake Pokémon,https://img.pokemondb.net/artwork/large/steelix.jpg
2081,Steelix-Mega Steelix,Steel,Ground,Iron Snake Pokémon,https://img.pokemondb.net/artwork/large/steelix-mega.jpg
2090,Snubbull-Snubbull,Fairy,-,Fairy Pokémon,https://img.pokemondb.net/artwork/large/snubbull.jpg
2100,Granbull-Granbull,Fairy,-,Fairy Pokémon,https://img.pokemondb.net/artwork/large/granbull.jpg
2110,Qwilfish-Qwilfish,Water,Poison,Balloon Pokémon,https://img.pokemondb.net/artwork/large/qwilfish.jpg
2111,Qwilfish-Hisuian Qwilfish,Water,Poison,Balloon Pokémon,https://img.pokemondb.net/artwork/large/qwilfish-hisuian.jpg
2120,Scizor-Scizor,Bug,Steel,Pincer Pokémon,https://img.pokemondb.net/artwork/large/scizor.jpg
2121,Scizor-Mega Scizor,Bug,Steel,Pincer Pokémon,https://img.pokemondb.net/artwork/large/scizor-mega.jpg
2130,Shuckle-Shuckle,Bug,Rock,Mold Pokémon,https://img.pokemondb.net/artwork/large/shuckle.jpg
2140,Heracross-Heracross,Bug,Fighting,Single Horn Pokémon,https://img.pokemondb.net/artwork/large/heracross.jpg
2141,Heracross-Mega Heracross,Bug,Fighting,Single Horn Pokémon,https://img.pokemondb.net/artwork/large/heracross-mega.jpg
2150,Sneasel-Sneasel,Dark,Ice,Sharp Claw Pokémon,https://img.pokemondb.net/artwork/large/sneasel.jpg
2151,Sneasel-Hisuian Sneasel,Dark,Ice,Sharp Claw Pokémon,https://img.pokemondb.net/artwork/large/sneasel-hisuian.jpg
2160,Teddiursa-Teddiursa,Normal,-,Little Bear Pokémon,https://img.pokemondb.net/artwork/large/teddiursa.jpg
2170,Ursaring-Ursaring,Normal,-,Hibernator Pokémon,https://img.pokemondb.net/artwork/large/ursaring.jpg
2180,Slugma-Slugma,Fire,-,Lava Pokémon,https://img.pokemondb.net/artwork/large/slugma.jpg
2190,Magcargo-Magcargo,Fire,Rock,Lava Pokémon,https://img.pokemondb.net/artwork/large/magcargo.jpg
2200,Swinub-Swinub,Ice,Ground,Pig Pokémon,https://img.pokemondb.net/artwork/large/swinub.jpg
2210,Piloswine-Piloswine,Ice,Ground,Swine Pokémon,https://img.pokemondb.net/artwork/large/piloswine.jpg
2220,Corsola-Corsola,Water,Rock,Coral Pokémon,https://img.pokemondb.net/artwork/large/corsola.jpg
2221,Corsola-Galarian Corsola,Water,Rock,Coral Pokémon,https://img.pokemondb.net/artwork/large/corsola-galarian.jpg
2230,Remoraid-Remoraid,Water,-,Jet Pokémon,https://img.pokemondb.net/artwork/large/remoraid.jpg
2240,Octillery-Octillery,Water,-,Jet Pokémon,https://img.pokemondb.net/artwork/large/octillery.jpg
2250,Delibird-Delibird,Ice,Flying,Delivery Pokémon,https://img.pokemondb.net/artwork/large/delibird.jpg
2260,Mantine-Mantine,Water,Flying,Kite Pokémon,https://img.pokemondb.net/artwork/large/mantine.jpg
2270,Skarmory-Skarmory,Steel,Flying,Armor Bird Pokémon,https://img.pokemondb.net/artwork/large/skarmory.jpg
2280,Houndour-Houndour,Dark,Fire,Dark Pokémon,https://img.pokemondb.net/artwork/large/houndour.jpg
2290,Houndoom-Houndoom,Dark,Fire,Dark Pokémon,https://img.pokemondb.net/artwork/large/houndoom.jpg
2291,Houndoom-Mega Houndoom,Dark,Fire,Dark Pokémon,https://img.pokemondb.net/artwork/large/houndoom-mega.jpg
2300,Kingdra-Kingdra,Water,Dragon,Dragon Pokémon,https://img.pokemondb.net/artwork/large/kingdra.jpg
2310,Phanpy-Phanpy,Ground,-,Long Nose Pokémon,https://img.pokemondb.net/artwork/large/phanpy.jpg
2320,Donphan-Donphan,Ground,-,Armor Pokémon,https://img.pokemondb.net/artwork/large/donphan.jpg
2330,Porygon2-Porygon2,Normal,-,Virtual Pokémon,https://img.pokemondb.net/artwork/large/porygon2.jpg
2340,Stantler-Stantler,Normal,-,Big Horn Pokémon,https://img.pokemondb.net/artwork/large/stantler.jpg
2350,Smeargle-Smeargle,Normal,-,Painter Pokémon,https://img.pokemondb.net/artwork/large/smeargle.jpg
2360,Tyrogue-Tyrogue,Fighting,-,Scuffle Pokémon,https://img.pokemondb.net/artwork/large/tyrogue.jpg
2370,Hitmontop-Hitmontop,Fighting,-,Handstand Pokémon,https://img.pokemondb.net/artwork/large/hitmontop.jpg
2380,Smoochum-Smoochum,Ice,Psychic,Kiss Pokémon,https://img.pokemondb.net/artwork/large/smoochum.jpg
2390,Elekid-Elekid,Electric,-,Electric Pokémon,https://img.pokemondb.net/artwork/large/elekid.jpg
2400,Magby-Magby,Fire,-,Live Coal Pokémon,https://img.pokemondb.net/artwork/large/magby.jpg
2410,Miltank-Miltank,Normal,-,Milk Cow Pokémon,https://img.pokemondb.net/artwork/large/miltank.jpg
2420,Blissey-Blissey,Normal,-,Happiness Pokémon,https://img.pokemondb.net/artwork/large/blissey.jpg
2430,Raikou-Raikou,Electric,-,Thunder Pokémon,https://img.pokemondb.net/artwork/large/raikou.jpg
2440,Entei-Entei,Fire,-,Volcano Pokémon,https://img.pokemondb.net/artwork/large/entei.jpg
2450,Suicune-Suicune,Water,-,Aurora Pokémon,https://img.pokemondb.net/artwork/large/suicune.jpg
2460,Larvitar-Larvitar,Rock,Ground,Rock Skin Pokémon,https://img.pokemondb.net/artwork/large/larvitar.jpg
2470,Pupitar-Pupitar,Rock,Ground,Hard Shell Pokémon,https://img.pokemondb.net/artwork/large/pupitar.jpg
2480,Tyranitar-Tyranitar,Rock,Dark,Armor Pokémon,https://img.pokemondb.net/artwork/large/tyranitar.jpg
2481,Tyranitar-Mega Tyranitar,Rock,Dark,Armor Pokémon,https://img.pokemondb.net/artwork/large/tyranitar-mega.jpg
2490,Lugia-Lugia,Psychic,Flying,Diving Pokémon,https://img.pokemondb.net/artwork/large/lugia.jpg
2500,Ho-oh-Ho-oh,Fire,Flying,Rainbow Pokémon,https://img.pokemondb.net/artwork/large/ho-oh.jpg
2510,Celebi-Celebi,Psychic,Grass,Time Travel Pokémon,https://img.pokemondb.net/artwork/large/celebi.jpg
2520,Treecko-Treecko,Grass,-,Wood Gecko Pokémon,https://img.pokemondb.net/artwork/large/treecko.jpg
2530,Grovyle-Grovyle,Grass,-,Wood Gecko Pokémon,https://img.pokemondb.net/artwork/large/grovyle.jpg
2540,Sceptile-Sceptile,Grass,-,Forest Pokémon,https://img.pokemondb.net/artwork/large/sceptile.jpg
2541,Sceptile-Mega Sceptile,Grass,-,Forest Pokémon,https://img.pokemondb.net/artwork/large/sceptile-mega.jpg
2550,Torchic-Torchic,Fire,-,Chick Pokémon,https://img.pokemondb.net/artwork/large/torchic.jpg
2560,Combusken-Combusken,Fire,Fighting,Young Fowl Pokémon,https://img.pokemondb.net/artwork/large/combusken.jpg
2570,Blaziken-Blaziken,Fire,Fighting,Blaze Pokémon,https://img.pokemondb.net/artwork/large/blaziken.jpg
2571,Blaziken-Mega Blaziken,Fire,Fighting,Blaze Pokémon,https://img.pokemondb.net/artwork/large/blaziken-mega.jpg
2580,Mudkip-Mudkip,Water,-,Mud Fish Pokémon,https://img.pokemondb.net/artwork/large/mudkip.jpg
2590,Marshtomp-Marshtomp,Water,Ground,Mud Fish Pokémon,https://img.pokemondb.net/artwork/large/marshtomp.jpg
2600,Swampert-Swampert,Water,Ground,Mud Fish Pokémon,https://img.pokemondb.net/artwork/large/swampert.jpg
2601,Swampert-Mega Swampert,Water,Ground,Mud Fish Pokémon,https://img.pokemondb.net/artwork/large/swampert-mega.jpg
2610,Poochyena-Poochyena,Dark,-,Bite Pokémon,https://img.pokemondb.net/artwork/large/poochyena.jpg
2620,Mightyena-Mightyena,Dark,-,Bite Pokémon,https://img.pokemondb.net/artwork/large/mightyena.jpg
2630,Zigzagoon-Zigzagoon,Normal,-,TinyRaccoon Pokémon,https://img.pokemondb.net/artwork/large/zigzagoon.jpg
2631,Zigzagoon-Galarian Zigzagoon,Normal,-,Tiny Raccoon Pokémon,https://img.pokemondb.net/artwork/large/zigzagoon-galarian.jpg
2640,Linoone-Linoone,Normal,-,Rushing Pokémon,https://img.pokemondb.net/artwork/large/linoone.jpg
2641,Linoone-Galarian Linoone,Normal,-,Rushing Pokémon,https://img.pokemondb.net/artwork/large/linoone-galarian.jpg
2650,Wurmple-Wurmple,Bug,-,Worm Pokémon,https://img.pokemondb.net/artwork/large/wurmple.jpg
2660,Silcoon-Silcoon,Bug,-,Cocoon Pokémon,https://img.pokemondb.net/artwork/large/silcoon.jpg
2670,Beautifly-Beautifly,Bug,Flying,Butterfly Pokémon,https://img.pokemondb.net/artwork/large/beautifly.jpg
2680,Cascoon-Cascoon,Bug,-,Cocoon Pokémon,https://img.pokemondb.net/artwork/large/cascoon.jpg
2690,Dustox-Dustox,Bug,Poison,Poison Moth Pokémon,https://img.pokemondb.net/artwork/large/dustox.jpg
2700,Lotad-Lotad,Water,Grass,Water Weed Pokémon,https://img.pokemondb.net/artwork/large/lotad.jpg
2710,Lombre-Lombre,Water,Grass,Jolly Pokémon,https://img.pokemondb.net/artwork/large/lombre.jpg
2720,Ludicolo-Ludicolo,Water,Grass,Carefree Pokémon,https://img.pokemondb.net/artwork/large/ludicolo.jpg
2730,Seedot-Seedot,Grass,-,Acorn Pokémon,https://img.pokemondb.net/artwork/large/seedot.jpg
2740,Nuzleaf-Nuzleaf,Grass,Dark,Wily Pokémon,https://img.pokemondb.net/artwork/large/nuzleaf.jpg
2750,Shiftry-Shiftry,Grass,Dark,Wicked Pokémon,https://img.pokemondb.net/artwork/large/shiftry.jpg
2760,Taillow-Taillow,Normal,Flying,TinySwallow Pokémon,https://img.pokemondb.net/artwork/large/taillow.jpg
2770,Swellow-Swellow,Normal,Flying,Swallow Pokémon,https://img.pokemondb.net/artwork/large/swellow.jpg
2780,Wingull-Wingull,Water,Flying,Seagull Pokémon,https://img.pokemondb.net/artwork/large/wingull.jpg
2790,Pelipper-Pelipper,Water,Flying,Water Bird Pokémon,https://img.pokemondb.net/artwork/large/pelipper.jpg
2800,Ralts-Ralts,Psychic,Fairy,Feeling Pokémon,https://img.pokemondb.net/artwork/large/ralts.jpg
2810,Kirlia-Kirlia,Psychic,Fairy,Emotion Pokémon,https://img.pokemondb.net/artwork/large/kirlia.jpg
2820,Gardevoir-Gardevoir,Psychic,Fairy,Embrace Pokémon,https://img.pokemondb.net/artwork/large/gardevoir.jpg
2821,Gardevoir-Mega Gardevoir,Psychic,Fairy,Embrace Pokémon,https://img.pokemondb.net/artwork/large/gardevoir-mega.jpg
2830,Surskit-Surskit,Bug,Water,Pond Skater Pokémon,https://img.pokemondb.net/artwork/large/surskit.jpg
2840,Masquerain-Masquerain,Bug,Flying,Eyeball Pokémon,https://img.pokemondb.net/artwork/large/masquerain.jpg
2850,Shroomish-Shroomish,Grass,-,Mushroom Pokémon,https://img.pokemondb.net/artwork/large/shroomish.jpg
2860,Breloom-Breloom,Grass,Fighting,Mushroom Pokémon,https://img.pokemondb.net/artwork/large/breloom.jpg
2870,Slakoth-Slakoth,Normal,-,Slacker Pokémon,https://img.pokemondb.net/artwork/large/slakoth.jpg
2880,Vigoroth-Vigoroth,Normal,-,Wild Monkey Pokémon,https://img.pokemondb.net/artwork/large/vigoroth.jpg
2890,Slaking-Slaking,Normal,-,Lazy Pokémon,https://img.pokemondb.net/artwork/large/slaking.jpg
2900,Nincada-Nincada,Bug,Ground,Trainee Pokémon,https://img.pokemondb.net/artwork/large/nincada.jpg
2910,Ninjask-Ninjask,Bug,Flying,Ninja Pokémon,https://img.pokemondb.net/artwork/large/ninjask.jpg
2920,Shedinja-Shedinja,Bug,Ghost,Shed Pokémon,https://img.pokemondb.net/artwork/large/shedinja.jpg
2930,Whismur-Whismur,Normal,-,Whisper Pokémon,https://img.pokemondb.net/artwork/large/whismur.jpg
2940,Loudred-Loudred,Normal,-,Big Voice Pokémon,https://img.pokemondb.net/artwork/large/loudred.jpg
2950,Exploud-Exploud,Normal,-,Loud Noise Pokémon,https://img.pokemondb.net/artwork/large/exploud.jpg
2960,Makuhita-Makuhita,Fighting,-,Guts Pokémon,https://img.pokemondb.net/artwork/large/makuhita.jpg
2970,Hariyama-Hariyama,Fighting,-,Arm Thrust Pokémon,https://img.pokemondb.net/artwork/large/hariyama.jpg
2980,Azurill-Azurill,Normal,Fairy,Polka Dot Pokémon,https://img.pokemondb.net/artwork/large/azurill.jpg
2990,Nosepass-Nosepass,Rock,-,Compass Pokémon,https://img.pokemondb.net/artwork/large/nosepass.jpg
3000,Skitty-Skitty,Normal,-,Kitten Pokémon,https://img.pokemondb.net/artwork/large/skitty.jpg
3010,Delcatty-Delcatty,Normal,-,Prim Pokémon,https://img.pokemondb.net/artwork/large/delcatty.jpg
3020,Sableye-Sableye,Dark,Ghost,Darkness Pokémon,https://img.pokemondb.net/artwork/large/sableye.jpg
3021,Sableye-Mega Sableye,Dark,Ghost,Darkness Pokémon,https://img.pokemondb.net/artwork/large/sableye-mega.jpg
3030,Mawile-Mawile,Steel,Fairy,Deceiver Pokémon,https://img.pokemondb.net/artwork/large/mawile.jpg
3031,Mawile-Mega Mawile,Steel,Fairy,Deceiver Pokémon,https://img.pokemondb.net/artwork/large/mawile-mega.jpg
3040,Aron-Aron,Steel,Rock,Iron Armor Pokémon,https://img.pokemondb.net/artwork/large/aron.jpg
3050,Lairon-Lairon,Steel,Rock,Iron Armor Pokémon,https://img.pokemondb.net/artwork/large/lairon.jpg
3060,Aggron-Aggron,Steel,Rock,Iron Armor Pokémon,https://img.pokemondb.net/artwork/large/aggron.jpg
3061,Aggron-Mega Aggron,Steel,Rock,Iron Armor Pokémon,https://img.pokemondb.net/artwork/large/aggron-mega.jpg
3070,Meditite-Meditite,Fighting,Psychic,Meditate Pokémon,https://img.pokemondb.net/artwork/large/meditite.jpg
3080,Medicham-Medicham,Fighting,Psychic,Meditate Pokémon,https://img.pokemondb.net/artwork/large/medicham.jpg
3081,Medicham-Mega Medicham,Fighting,Psychic,Meditate Pokémon,https://img.pokemondb.net/artwork/large/medicham-mega.jpg
3090,Electrike-Electrike,Electric,-,Lightning Pokémon,https://img.pokemondb.net/artwork/large/electrike.jpg
3100,Manectric-Manectric,Electric,-,Discharge Pokémon,https://img.pokemondb.net/artwork/large/manectric.jpg
3101,Manectric-Mega Manectric,Electric,-,Discharge Pokémon,https://img.pokemondb.net/artwork/large/manectric-mega.jpg
3110,Plusle-Plusle,Electric,-,Cheering Pokémon,https://img.pokemondb.net/artwork/large/plusle.jpg
3120,Minun-Minun,Electric,-,Cheering Pokémon,https://img.pokemondb.net/artwork/large/minun.jpg
3130,Volbeat-Volbeat,Bug,-,Firefly Pokémon,https://img.pokemondb.net/artwork/large/volbeat.jpg
3140,Illumise-Illumise,Bug,-,Firefly Pokémon,https://img.pokemondb.net/artwork/large/illumise.jpg
3150,Roselia-Roselia,Grass,Poison,Thorn Pokémon,https://img.pokemondb.net/artwork/large/roselia.jpg
3160,Gulpin-Gulpin,Poison,-,Stomach Pokémon,https://img.pokemondb.net/artwork/large/gulpin.jpg
3170,Swalot-Swalot,Poison,-,Poison Bag Pokémon,https://img.pokemondb.net/artwork/large/swalot.jpg
3180,Carvanha-Carvanha,Water,Dark,Savage Pokémon,https://img.pokemondb.net/artwork/large/carvanha.jpg
3190,Sharpedo-Sharpedo,Water,Dark,Brutal Pokémon,https://img.pokemondb.net/artwork/large/sharpedo.jpg
3191,Sharpedo-Mega Sharpedo,Water,Dark,Brutal Pokémon,https://img.pokemondb.net/artwork/large/sharpedo-mega.jpg
3200,Wailmer-Wailmer,Water,-,Ball Whale Pokémon,https://img.pokemondb.net/artwork/large/wailmer.jpg
3210,Wailord-Wailord,Water,-,Float Whale Pokémon,https://img.pokemondb.net/artwork/large/wailord.jpg
3220,Numel-Numel,Fire,Ground,Numb Pokémon,https://img.pokemondb.net/artwork/large/numel.jpg
3230,Camerupt-Camerupt,Fire,Ground,Eruption Pokémon,https://img.pokemondb.net/artwork/large/camerupt.jpg
3231,Camerupt-Mega Camerupt,Fire,Ground,Eruption Pokémon,https://img.pokemondb.net/artwork/large/camerupt-mega.jpg
3240,Torkoal-Torkoal,Fire,-,Coal Pokémon,https://img.pokemondb.net/artwork/large/torkoal.jpg
3250,Spoink-Spoink,Psychic,-,Bounce Pokémon,https://img.pokemondb.net/artwork/large/spoink.jpg
3260,Grumpig-Grumpig,Psychic,-,Manipulate Pokémon,https://img.pokemondb.net/artwork/large/grumpig.jpg
3270,Spinda-Spinda,Normal,-,Spot Panda Pokémon,https://img.pokemondb.net/artwork/large/spinda.jpg
3280,Trapinch-Trapinch,Ground,-,Ant Pit Pokémon,https://img.pokemondb.net/artwork/large/trapinch.jpg
3290,Vibrava-Vibrava,Ground,Dragon,Vibration Pokémon,https://img.pokemondb.net/artwork/large/vibrava.jpg
3300,Flygon-Flygon,Ground,Dragon,Mystic Pokémon,https://img.pokemondb.net/artwork/large/flygon.jpg
3310,Cacnea-Cacnea,Grass,-,Cactus Pokémon,https://img.pokemondb.net/artwork/large/cacnea.jpg
3320,Cacturne-Cacturne,Grass,Dark,Scarecrow Pokémon,https://img.pokemondb.net/artwork/large/cacturne.jpg
3330,Swablu-Swablu,Normal,Flying,Cotton Bird Pokémon,https://img.pokemondb.net/artwork/large/swablu.jpg
3340,Altaria-Altaria,Dragon,Flying,Humming Pokémon,https://img.pokemondb.net/artwork/large/altaria.jpg
3341,Altaria-Mega Altaria,Dragon,Flying,Humming Pokémon,https://img.pokemondb.net/artwork/large/altaria-mega.jpg
3350,Zangoose-Zangoose,Normal,-,Cat Ferret Pokémon,https://img.pokemondb.net/artwork/large/zangoose.jpg
3360,Seviper-Seviper,Poison,-,Fang Snake Pokémon,https://img.pokemondb.net/artwork/large/seviper.jpg
3370,Lunatone-Lunatone,Rock,Psychic,Meteorite Pokémon,https://img.pokemondb.net/artwork/large/lunatone.jpg
3380,Solrock-Solrock,Rock,Psychic,Meteorite Pokémon,https://img.pokemondb.net/artwork/large/solrock.jpg
3390,Barboach-Barboach,Water,Ground,Whiskers Pokémon,https://img.pokemondb.net/artwork/large/barboach.jpg
3400,Whiscash-Whiscash,Water,Ground,Whiskers Pokémon,https://img.pokemondb.net/artwork/large/whiscash.jpg
3410,Corphish-Corphish,Water,-,Ruffian Pokémon,https://img.pokemondb.net/artwork/large/corphish.jpg
3420,Crawdaunt-Crawdaunt,Water,Dark,Rogue Pokémon,https://img.pokemondb.net/artwork/large/crawdaunt.jpg
3430,Baltoy-Baltoy,Ground,Psychic,Clay Doll Pokémon,https://img.pokemondb.net/artwork/large/baltoy.jpg
3440,Claydol-Claydol,Ground,Psychic,Clay Doll Pokémon,https://img.pokemondb.net/artwork/large/claydol.jpg
3450,Lileep-Lileep,Rock,Grass,Sea Lily Pokémon,https://img.pokemondb.net/artwork/large/lileep.jpg
3460,Cradily-Cradily,Rock,Grass,Barnacle Pokémon,https://img.pokemondb.net/artwork/large/cradily.jpg
3470,Anorith-Anorith,Rock,Bug,Old Shrimp Pokémon,https://img.pokemondb.net/artwork/large/anorith.jpg
3480,Armaldo-Armaldo,Rock,Bug,Plate Pokémon,https://img.pokemondb.net/artwork/large/armaldo.jpg
3490,Feebas-Feebas,Water,-,Fish Pokémon,https://img.pokemondb.net/artwork/large/feebas.jpg
3500,Milotic-Milotic,Water,-,Tender Pokémon,https://img.pokemondb.net/artwork/large/milotic.jpg
3510,Castform-Castform,Normal,-,Weather Pokémon,https://img.pokemondb.net/artwork/large/castform.jpg
3511,Castform-Sunny Form,Normal,-,Weather Pokémon,https://img.pokemondb.net/artwork/vector/castform-sunny.png
3512,Castform-Rainy Form,Normal,-,Weather Pokémon,https://img.pokemondb.net/artwork/vector/castform-rainy.png
3513,Castform-Snowy Form,Normal,-,Weather Pokémon,https://img.pokemondb.net/artwork/vector/castform-snowy.png
3520,Kecleon-Kecleon,Normal,-,Color Swap Pokémon,https://img.pokemondb.net/artwork/large/kecleon.jpg
3530,Shuppet-Shuppet,Ghost,-,Puppet Pokémon,https://img.pokemondb.net/artwork/large/shuppet.jpg
3540,Banette-Banette,Ghost,-,Marionette Pokémon,https://img.pokemondb.net/artwork/large/banette.jpg
3541,Banette-Mega Banette,Ghost,-,Marionette Pokémon,https://img.pokemondb.net/artwork/large/banette-mega.jpg
3550,Duskull-Duskull,Ghost,-,Requiem Pokémon,https://img.pokemondb.net/artwork/large/duskull.jpg
3560,Dusclops-Dusclops,Ghost,-,Beckon Pokémon,https://img.pokemondb.net/artwork/large/dusclops.jpg
3570,Tropius-Tropius,Grass,Flying,Fruit Pokémon,https://img.pokemondb.net/artwork/large/tropius.jpg
3580,Chimecho-Chimecho,Psychic,-,Wind Chime Pokémon,https://img.pokemondb.net/artwork/large/chimecho.jpg
3590,Absol-Absol,Dark,-,Disaster Pokémon,https://img.pokemondb.net/artwork/large/absol.jpg
3591,Absol-Mega Absol,Dark,-,Disaster Pokémon,https://img.pokemondb.net/artwork/large/absol-mega.jpg
3600,Wynaut-Wynaut,Psychic,-,Bright Pokémon,https://img.pokemondb.net/artwork/large/wynaut.jpg
3610,Snorunt-Snorunt,Ice,-,Snow Hat Pokémon,https://img.pokemondb.net/artwork/large/snorunt.jpg
3620,Glalie-Glalie,Ice,-,Face Pokémon,https://img.pokemondb.net/artwork/large/glalie.jpg
3621,Glalie-Mega Glalie,Ice,-,Face Pokémon,https://img.pokemondb.net/artwork/large/glalie-mega.jpg
3630,Spheal-Spheal,Ice,Water,Clap Pokémon,https://img.pokemondb.net/artwork/large/spheal.jpg
3640,Sealeo-Sealeo,Ice,Water,Ball Roll Pokémon,https://img.pokemondb.net/artwork/large/sealeo.jpg
3650,Walrein-Walrein,Ice,Water,Ice Break Pokémon,https://img.pokemondb.net/artwork/large/walrein.jpg
3660,Clamperl-Clamperl,Water,-,Bivalve Pokémon,https://img.pokemondb.net/artwork/large/clamperl.jpg
3670,Huntail-Huntail,Water,-,Deep Sea Pokémon,https://img.pokemondb.net/artwork/large/huntail.jpg
3680,Gorebyss-Gorebyss,Water,-,South Sea Pokémon,https://img.pokemondb.net/artwork/large/gorebyss.jpg
3690,Relicanth-Relicanth,Water,Rock,Longevity Pokémon,https://img.pokemondb.net/artwork/large/relicanth.jpg
3700,Luvdisc-Luvdisc,Water,-,Rendezvous Pokémon,https://img.pokemondb.net/artwork/large/luvdisc.jpg
3710,Bagon-Bagon,Dragon,-,Rock Head Pokémon,https://img.pokemondb.net/artwork/large/bagon.jpg
3720,Shelgon-Shelgon,Dragon,-,Endurance Pokémon,https://img.pokemondb.net/artwork/large/shelgon.jpg
3730,Salamence-Salamence,Dragon,Flying,Dragon Pokémon,https://img.pokemondb.net/artwork/large/salamence.jpg
3731,Salamence-Mega Salamence,Dragon,Flying,Dragon Pokémon,https://img.pokemondb.net/artwork/large/salamence-mega.jpg
3740,Beldum-Beldum,Steel,Psychic,Iron Ball Pokémon,https://img.pokemondb.net/artwork/large/beldum.jpg
3750,Metang-Metang,Steel,Psychic,Iron Claw Pokémon,https://img.pokemondb.net/artwork/large/metang.jpg
3760,Metagross-Metagross,Steel,Psychic,Iron Leg Pokémon,https://img.pokemondb.net/artwork/large/metagross.jpg
3761,Metagross-Mega Metagross,Steel,Psychic,Iron Leg Pokémon,https://img.pokemondb.net/artwork/large/metagross-mega.jpg
3770,Regirock-Regirock,Rock,-,Rock Peak Pokémon,https://img.pokemondb.net/artwork/large/regirock.jpg
3780,Regice-Regice,Ice,-,Iceberg Pokémon,https://img.pokemondb.net/artwork/large/regice.jpg
3790,Registeel-Registeel,Steel,-,Iron Pokémon,https://img.pokemondb.net/artwork/large/registeel.jpg
3800,Latias-Latias,Dragon,Psychic,Eon Pokémon,https://img.pokemondb.net/artwork/large/latias.jpg
3801,Latias-Mega Latias,Dragon,Psychic,Eon Pokémon,https://img.pokemondb.net/artwork/large/latias-mega.jpg
3810,Latios-Latios,Dragon,Psychic,Eon Pokémon,https://img.pokemondb.net/artwork/large/latios.jpg
3811,Latios-Mega Latios,Dragon,Psychic,Eon Pokémon,https://img.pokemondb.net/artwork/large/latios-mega.jpg
3820,Kyogre-Kyogre,Water,-,Sea Basin Pokémon,https://img.pokemondb.net/artwork/large/kyogre.jpg
3821,Kyogre-Primal Kyogre,Water,-,Sea Basin Pokémon,https://img.pokemondb.net/artwork/large/kyogre-primal.jpg
