id_nb,name-form,type_1,type_2,link,img,data_species,data_height,data_weight,first_ability,second_ability,hidden_ability,training_catch_rate,training_base_exp,training_growth_rate,breeding_gender_male,breeding_gender_female,egg_group1,egg_group2,egg_cycle,stats_hp,stats_attack,stats_defense,stats_sp_atk,stats_sp_def,stats_speed,stats_total,
#2151,Sneasel-Hisuian Sneasel,Dark,Ice,/pokedex/sneasel,https://img.pokemondb.net/artwork/large/sneasel-hisuian.jpg,Sharp Claw Pokémon,0.9,27.0,Inner Focus,Keen Eye,Poison Touch,—,—,—,—,—,—,—,—,55,95,55,35,75,115,430,
#2160,Teddiursa-Teddiursa,Normal,-,/pokedex/teddiursa,https://img.pokemondb.net/artwork/large/teddiursa.jpg,Little Bear Pokémon,0.6,8.8,Pickup,Quick Feet,Honey Gather,120,66,Medium Fast,50% male,50% female,Field,—,20,60,80,50,50,50,40,330,
#2170,Ursaring-Ursaring,Normal,-,/pokedex/ursaring,https://img.pokemondb.net/artwork/large/ursaring.jpg,Hibernator Pokémon,1.8,125.8,Guts,Quick Feet,Unnerve,60,175,Medium Fast,50% male,50% female,Field,—,20,90,130,75,75,75,55,500,
#2180,Slugma-Slugma,Fire,-,/pokedex/slugma,https://img.pokemondb.net/artwork/large/slugma.jpg,Lava Pokémon,0.7,35.0,Magma Armor,Flame Body,Weak Armor,190,50,Medium Fast,50% male,50% female,Amorphous,—,20,40,40,40,70,40,20,250,
#2190,Magcargo-Magcargo,Fire,Rock,/pokedex/magcargo,https://img.pokemondb.net/artwork/large/magcargo.jpg,Lava Pokémon,0.8,55.0,Magma Armor,Flame Body,Weak Armor,75,151,Medium Fast,50% male,50% female,Amorphous,—,20,60,50,120,90,80,30,430,
#2200,Swinub-Swinub,Ice,Ground,/pokedex/swinub,https://img.pokemondb.net/artwork/large/swinub.jpg,Pig Pokémon,0.4,6.5,Oblivious,Snow Cloak,Thick Fat,225,50,Slow,50% male,50% female,Field,—,20,50,50,40,30,30,50,250,
#2210,Piloswine-Piloswine,Ice,Ground,/pokedex/piloswine,https://img.pokemondb.net/artwork/large/piloswine.jpg,Swine Pokémon,1.1,55.8,Oblivious,Snow Cloak,Thick Fat,75,158,Slow,50% male,50% female,Field,—,20,100,100,80,60,60,50,450,
#2220,Corsola-Corsola,Water,Rock,/pokedex/corsola,https://img.pokemondb.net/artwork/large/corsola.jpg,Coral Pokémon,0.6,5.0,Hustle,Natural Cure,Regenerator,60,144,Fast,25% male,75% female,Water 1,Water 3,20,65,55,95,65,95,35,410,
#2221,Corsola-Galarian Corsola,Water,Rock,/pokedex/corsola,https://img.pokemondb.net/artwork/large/corsola-galarian.jpg,Coral Pokémon,0.6,0.5,Weak Armor,-,Cursed Body,60,144,Fast,25% male,75% female,Water 1,Water 3,20,60,55,100,65,100,30,410,
#2230,Remoraid-Remoraid,Water,-,/pokedex/remoraid,https://img.pokemondb.net/artwork/large/remoraid.jpg,Jet Pokémon,0.6,12.0,Hustle,Sniper,Moody,190,60,Medium Fast,50% male,50% female,Water 1,Water 2,20,35,65,35,65,35,65,300,
#2240,Octillery-Octillery,Water,-,/pokedex/octillery,https://img.pokemondb.net/artwork/large/octillery.jpg,Jet Pokémon,0.9,28.5,Suction Cups,Sniper,Moody,75,168,Medium Fast,50% male,50% female,Water 1,Water 2,20,75,105,75,105,75,45,480,
#2250,Delibird-Delibird,Ice,Flying,/pokedex/delibird,https://img.pokemondb.net/artwork/large/delibird.jpg,Delivery Pokémon,0.9,16.0,Vital Spirit,Hustle,Insomnia,45,116,Fast,50% male,50% female,Field,Water 1,20,45,55,45,65,45,75,330,
#2260,Mantine-Mantine,Water,Flying,/pokedex/mantine,https://img.pokemondb.net/artwork/large/mantine.jpg,Kite Pokémon,2.1,220.0,Swift Swim,Water Absorb,Water Veil,25,170,Slow,50% male,50% female,Water 1,—,25,85,40,70,80,140,70,485,
#2270,Skarmory-Skarmory,Steel,Flying,/pokedex/skarmory,https://img.pokemondb.net/artwork/large/skarmory.jpg,Armor Bird Pokémon,1.7,50.5,Keen Eye,Sturdy,Weak Armor,25,163,Slow,50% male,50% female,Flying,—,25,65,80,140,40,70,70,465,
#2280,Houndour-Houndour,Dark,Fire,/pokedex/houndour,https://img.pokemondb.net/artwork/large/houndour.jpg,Dark Pokémon,0.6,10.8,Early Bird,Flash Fire,Unnerve,120,66,Slow,50% male,50% female,Field,—,20,45,60,30,80,50,65,330,
#2290,Houndoom-Houndoom,Dark,Fire,/pokedex/houndoom,https://img.pokemondb.net/artwork/large/houndoom.jpg,Dark Pokémon,1.4,35.0,Early Bird,Flash Fire,Unnerve,45,175,Slow,50% male,50% female,Field,—,20,75,90,50,110,80,95,500,
#2291,Houndoom-Mega Houndoom,Dark,Fire,/pokedex/houndoom,https://img.pokemondb.net/artwork/large/houndoom-mega.jpg,Dark Pokémon,1.9,49.5,Solar Power,-,-,45,210,Slow,50% male,50% female,Field,—,20,75,90,90,140,90,115,600,
#2300,Kingdra-Kingdra,Water,Dragon,/pokedex/kingdra,https://img.pokemondb.net/artwork/large/kingdra.jpg,Dragon Pokémon,1.8,152.0,Swift Swim,Sniper,Damp,45,243,Medium Fast,50% male,50% female,Dragon,Water 1,20,75,95,95,95,95,85,540,
#2310,Phanpy-Phanpy,Ground,-,/pokedex/phanpy,https://img.pokemondb.net/artwork/large/phanpy.jpg,Long Nose Pokémon,0.5,33.5,Pickup,-,Sand Veil,120,66,Medium Fast,50% male,50% female,Field,—,20,90,60,60,40,40,40,330,
#2320,Donphan-Donphan,Ground,-,/pokedex/donphan,https://img.pokemondb.net/artwork/large/donphan.jpg,Armor Pokémon,1.1,120.0,Sturdy,-,Sand Veil,60,175,Medium Fast,50% male,50% female,Field,—,20,90,120,120,60,60,50,500,
#2330,Porygon2-Porygon2,Normal,-,/pokedex/porygon2,https://img.pokemondb.net/artwork/large/porygon2.jpg,Virtual Pokémon,0.6,32.5,Trace,Download,Analytic,45,180,Medium Fast,Genderless,Genderless,Mineral,—,20,85,80,90,105,95,60,515,
#2340,Stantler-Stantler,Normal,-,/pokedex/stantler,https://img.pokemondb.net/artwork/large/stantler.jpg,Big Horn Pokémon,1.4,71.2,Intimidate,Frisk,Sap Sipper,45,163,Slow,50% male,50% female,Field,—,20,73,95,62,85,65,85,465,
#2350,Smeargle-Smeargle,Normal,-,/pokedex/smeargle,https://img.pokemondb.net/artwork/large/smeargle.jpg,Painter Pokémon,1.2,58.0,Own Tempo,Technician,Moody,45,88,Fast,50% male,50% female,Field,—,20,55,20,35,20,45,75,250,
#2360,Tyrogue-Tyrogue,Fighting,-,/pokedex/tyrogue,https://img.pokemondb.net/artwork/large/tyrogue.jpg,Scuffle Pokémon,0.7,21.0,Guts,Steadfast,Vital Spirit,75,42,Medium Fast,100% male,0% female,Undiscovered,—,25,35,35,35,35,35,35,210,
#2370,Hitmontop-Hitmontop,Fighting,-,/pokedex/hitmontop,https://img.pokemondb.net/artwork/large/hitmontop.jpg,Handstand Pokémon,1.4,48.0,Intimidate,Technician,Steadfast,45,159,Medium Fast,100% male,0% female,Human-Like,—,25,50,95,95,35,110,70,455,
#2380,Smoochum-Smoochum,Ice,Psychic,/pokedex/smoochum,https://img.pokemondb.net/artwork/large/smoochum.jpg,Kiss Pokémon,0.4,6.0,Oblivious,Forewarn,Hydration,45,61,Medium Fast,0% male,100% female,Undiscovered,—,25,45,30,15,85,65,65,305,
#2390,Elekid-Elekid,Electric,-,/pokedex/elekid,https://img.pokemondb.net/artwork/large/elekid.jpg,Electric Pokémon,0.6,23.5,Static,-,Vital Spirit,45,72,Medium Fast,75% male,25% female,Undiscovered,—,25,45,63,37,65,55,95,360,
#2400,Magby-Magby,Fire,-,/pokedex/magby,https://img.pokemondb.net/artwork/large/magby.jpg,Live Coal Pokémon,0.7,21.4,Flame Body,-,Vital Spirit,45,73,Medium Fast,75% male,25% female,Undiscovered,—,25,45,75,37,70,55,83,365,
#2410,Miltank-Miltank,Normal,-,/pokedex/miltank,https://img.pokemondb.net/artwork/large/miltank.jpg,Milk Cow Pokémon,1.2,75.5,Thick Fat,Scrappy,Sap Sipper,45,172,Slow,0% male,100% female,Field,—,20,95,80,105,40,70,100,490,
#2420,Blissey-Blissey,Normal,-,/pokedex/blissey,https://img.pokemondb.net/artwork/large/blissey.jpg,Happiness Pokémon,1.5,46.8,Natural Cure,Serene Grace,Healer,30,608,Fast,0% male,100% female,Fairy,—,40,255,10,10,75,135,55,540,
#2430,Raikou-Raikou,Electric,-,/pokedex/raikou,https://img.pokemondb.net/artwork/large/raikou.jpg,Thunder Pokémon,1.9,178.0,Pressure,-,Inner Focus,3,261,Slow,Genderless,Genderless,Undiscovered,—,80,90,85,75,115,100,115,580,
#2440,Entei-Entei,Fire,-,/pokedex/entei,https://img.pokemondb.net/artwork/large/entei.jpg,Volcano Pokémon,2.1,198.0,Pressure,-,Inner Focus,3,261,Slow,Genderless,Genderless,Undiscovered,—,80,115,115,85,90,75,100,580,
#2450,Suicune-Suicune,Water,-,/pokedex/suicune,https://img.pokemondb.net/artwork/large/suicune.jpg,Aurora Pokémon,2.0,187.0,Pressure,-,Inner Focus,3,261,Slow,Genderless,Genderless,Undiscovered,—,80,100,75,115,90,115,85,580,
#2460,Larvitar-Larvitar,Rock,Ground,/pokedex/larvitar,https://img.pokemondb.net/artwork/large/larvitar.jpg,Rock Skin Pokémon,0.6,72.0,Guts,-,Sand Veil,45,60,Slow,50% male,50% female,Monster,—,40,50,64,50,45,50,41,300,
#2470,Pupitar-Pupitar,Rock,Ground,/pokedex/pupitar,https://img.pokemondb.net/artwork/large/pupitar.jpg,Hard Shell Pokémon,1.2,152.0,Shed Skin,-,-,45,144,Slow,50% male,50% female,Monster,—,40,70,84,70,65,70,51,410,
#2480,Tyranitar-Tyranitar,Rock,Dark,/pokedex/tyranitar,https://img.pokemondb.net/artwork/large/tyranitar.jpg,Armor Pokémon,2.0,202.0,Sand Stream,-,Unnerve,45,270,Slow,50% male,50% female,Monster,—,40,100,134,110,95,100,61,600,
#2481,Tyranitar-Mega Tyranitar,Rock,Dark,/pokedex/tyranitar,https://img.pokemondb.net/artwork/large/tyranitar-mega.jpg,Armor Pokémon,2.5,255.0,Sand Stream,-,-,45,315,Slow,50% male,50% female,Monster,—,40,100,164,150,95,120,71,700,
#2490,Lugia-Lugia,Psychic,Flying,/pokedex/lugia,https://img.pokemondb.net/artwork/large/lugia.jpg,Diving Pokémon,5.2,216.0,Pressure,-,Multiscale,3,306,Slow,Genderless,Genderless,Undiscovered,—,120,106,90,130,90,154,110,680,
#2500,Ho-oh-Ho-oh,Fire,Flying,/pokedex/ho-oh,https://img.pokemondb.net/artwork/large/ho-oh.jpg,Rainbow Pokémon,3.8,199.0,Pressure,-,Regenerator,3,306,Slow,Genderless,Genderless,Undiscovered,—,120,106,130,90,110,154,90,680,
#2510,Celebi-Celebi,Psychic,Grass,/pokedex/celebi,https://img.pokemondb.net/artwork/large/celebi.jpg,Time Travel Pokémon,0.6,5.0,Natural Cure,-,-,45,270,Medium Slow,Genderless,Genderless,Undiscovered,—,120,100,100,100,100,100,100,600,
#2520,Treecko-Treecko,Grass,-,/pokedex/treecko,https://img.pokemondb.net/artwork/large/treecko.jpg,Wood Gecko Pokémon,0.5,5.0,Overgrow,-,Unburden,45,62,Medium Slow,87.5% male,12.5% female,Dragon,Monster,20,40,45,35,65,55,70,310,
#2530,Grovyle-Grovyle,Grass,-,/pokedex/grovyle,https://img.pokemondb.net/artwork/large/grovyle.jpg,Wood Gecko Pokémon,0.9,21.6,Overgrow,-,Unburden,45,142,Medium Slow,87.5% male,12.5% female,Dragon,Monster,20,50,65,45,85,65,95,405,
#2540,Sceptile-Sceptile,Grass,-,/pokedex/sceptile,https://img.pokemondb.net/artwork/large/sceptile.jpg,Forest Pokémon,1.7,52.2,Overgrow,-,Unburden,45,239,Medium Slow,87.5% male,12.5% female,Dragon,Monster,20,70,85,65,105,85,120,530,
#2541,Sceptile-Mega Sceptile,Grass,-,/pokedex/sceptile,https://img.pokemondb.net/artwork/large/sceptile-mega.jpg,Forest Pokémon,1.9,55.2,Lightning Rod,-,-,45,284,Medium Slow,87.5% male,12.5% female,Dragon,Monster,20,70,110,75,145,85,145,630,
#2550,Torchic-Torchic,Fire,-,/pokedex/torchic,https://img.pokemondb.net/artwork/large/torchic.jpg,Chick Pokémon,0.4,2.5,Blaze,-,Speed Boost,45,62,Medium Slow,87.5% male,12.5% female,Field,—,20,45,60,40,70,50,45,310,
#2560,Combusken-Combusken,Fire,Fighting,/pokedex/combusken,https://img.pokemondb.net/artwork/large/combusken.jpg,Young Fowl Pokémon,0.9,19.5,Blaze,-,Speed Boost,45,142,Medium Slow,87.5% male,12.5% female,Field,—,20,60,85,60,85,60,55,405,
#2570,Blaziken-Blaziken,Fire,Fighting,/pokedex/blaziken,https://img.pokemondb.net/artwork/large/blaziken.jpg,Blaze Pokémon,1.9,52.0,Blaze,-,Speed Boost,45,239,Medium Slow,87.5% male,12.5% female,Field,—,20,80,120,70,110,70,80,530,
#2571,Blaziken-Mega Blaziken,Fire,Fighting,/pokedex/blaziken,https://img.pokemondb.net/artwork/large/blaziken-mega.jpg,Blaze Pokémon,1.9,52.0,Speed Boost,-,-,45,284,Medium Slow,87.5% male,12.5% female,Field,—,20,80,160,80,130,80,100,630,
#2580,Mudkip-Mudkip,Water,-,/pokedex/mudkip,https://img.pokemondb.net/artwork/large/mudkip.jpg,Mud Fish Pokémon,0.4,7.6,Torrent,-,Damp,45,62,Medium Slow,87.5% male,12.5% female,Monster,Water 1,20,50,70,50,50,50,40,310,
#2590,Marshtomp-Marshtomp,Water,Ground,/pokedex/marshtomp,https://img.pokemondb.net/artwork/large/marshtomp.jpg,Mud Fish Pokémon,0.7,28.0,Torrent,-,Damp,45,142,Medium Slow,87.5% male,12.5% female,Monster,Water 1,20,70,85,70,60,70,50,405,
#2600,Swampert-Swampert,Water,Ground,/pokedex/swampert,https://img.pokemondb.net/artwork/large/swampert.jpg,Mud Fish Pokémon,1.5,81.9,Torrent,-,Damp,45,241,Medium Slow,87.5% male,12.5% female,Monster,Water 1,20,100,110,90,85,90,60,535,
#2601,Swampert-Mega Swampert,Water,Ground,/pokedex/swampert,https://img.pokemondb.net/artwork/large/swampert-mega.jpg,Mud Fish Pokémon,1.9,102.0,Swift Swim,-,-,45,286,Medium Slow,87.5% male,12.5% female,Monster,Water 1,20,100,150,110,95,110,70,635,
#2610,Poochyena-Poochyena,Dark,-,/pokedex/poochyena,https://img.pokemondb.net/artwork/large/poochyena.jpg,Bite Pokémon,0.5,13.6,Run Away,Quick Feet,Rattled,255,56,Medium Fast,50% male,50% female,Field,—,15,35,55,35,30,30,35,220,
#2620,Mightyena-Mightyena,Dark,-,/pokedex/mightyena,https://img.pokemondb.net/artwork/large/mightyena.jpg,Bite Pokémon,1.0,37.0,Intimidate,Quick Feet,Moxie,127,147,Medium Fast,50% male,50% female,Field,—,15,70,90,70,60,60,70,420,
#2630,Zigzagoon-Zigzagoon,Normal,-,/pokedex/zigzagoon,https://img.pokemondb.net/artwork/large/zigzagoon.jpg,TinyRaccoon Pokémon,0.4,17.5,Pickup,Gluttony,Quick Feet,255,56,Medium Fast,50% male,50% female,Field,—,15,38,30,41,30,41,60,240,
#2631,Zigzagoon-Galarian Zigzagoon,Normal,-,/pokedex/zigzagoon,https://img.pokemondb.net/artwork/large/zigzagoon-galarian.jpg,Tiny Raccoon Pokémon,0.4,17.5,Pickup,Gluttony,Quick Feet,255,56,Medium Fast,50% male,50% female,Field,—,15,38,30,41,30,41,60,240,
#2640,Linoone-Linoone,Normal,-,/pokedex/linoone,https://img.pokemondb.net/artwork/large/linoone.jpg,Rushing Pokémon,0.5,32.5,Pickup,Gluttony,Quick Feet,90,147,Medium Fast,50% male,50% female,Field,—,15,78,70,61,50,61,100,420,
#2641,Linoone-Galarian Linoone,Normal,-,/pokedex/linoone,https://img.pokemondb.net/artwork/large/linoone-galarian.jpg,Rushing Pokémon,0.5,32.5,Pickup,Gluttony,Quick Feet,90,147,Medium Fast,50% male,50% female,Field,—,15,78,70,61,50,61,100,420,
#2650,Wurmple-Wurmple,Bug,-,/pokedex/wurmple,https://img.pokemondb.net/artwork/large/wurmple.jpg,Worm Pokémon,0.3,3.6,Shield Dust,-,Run Away,255,56,Medium Fast,50% male,50% female,Bug,—,15,45,45,35,20,30,20,195,
#2660,Silcoon-Silcoon,Bug,-,/pokedex/silcoon,https://img.pokemondb.net/artwork/large/silcoon.jpg,Cocoon Pokémon,0.6,10.0,Shed Skin,-,-,120,72,Medium Fast,50% male,50% female,Bug,—,15,50,35,55,25,25,15,205,
#2670,Beautifly-Beautifly,Bug,Flying,/pokedex/beautifly,https://img.pokemondb.net/artwork/large/beautifly.jpg,Butterfly Pokémon,1.0,28.4,Swarm,-,Rivalry,45,178,Medium Fast,50% male,50% female,Bug,—,15,60,70,50,100,50,65,395,
#2680,Cascoon-Cascoon,Bug,-,/pokedex/cascoon,https://img.pokemondb.net/artwork/large/cascoon.jpg,Cocoon Pokémon,0.7,11.5,Shed Skin,-,-,120,72,Medium Fast,50% male,50% female,Bug,—,15,50,35,55,25,25,15,205,
#2690,Dustox-Dustox,Bug,Poison,/pokedex/dustox,https://img.pokemondb.net/artwork/large/dustox.jpg,Poison Moth Pokémon,1.2,31.6,Shield Dust,-,Compound Eyes,45,173,Medium Fast,50% male,50% female,Bug,—,15,60,50,70,50,90,65,385,
#2700,Lotad-Lotad,Water,Grass,/pokedex/lotad,https://img.pokemondb.net/artwork/large/lotad.jpg,Water Weed Pokémon,0.5,2.6,Swift Swim,Rain Dish,Own Tempo,255,44,Medium Slow,50% male,50% female,Grass,Water 1,15,40,30,30,40,50,30,220,
#2710,Lombre-Lombre,Water,Grass,/pokedex/lombre,https://img.pokemondb.net/artwork/large/lombre.jpg,Jolly Pokémon,1.2,32.5,Swift Swim,Rain Dish,Own Tempo,120,119,Medium Slow,50% male,50% female,Grass,Water 1,15,60,50,50,60,70,50,340,
#2720,Ludicolo-Ludicolo,Water,Grass,/pokedex/ludicolo,https://img.pokemondb.net/artwork/large/ludicolo.jpg,Carefree Pokémon,1.5,55.0,Swift Swim,Rain Dish,Own Tempo,45,216,Medium Slow,50% male,50% female,Grass,Water 1,15,80,70,70,90,100,70,480,
#2730,Seedot-Seedot,Grass,-,/pokedex/seedot,https://img.pokemondb.net/artwork/large/seedot.jpg,Acorn Pokémon,0.5,4.0,Chlorophyll,Early Bird,Pickpocket,255,44,Medium Slow,50% male,50% female,Field,Grass,15,40,40,50,30,30,30,220,
#2740,Nuzleaf-Nuzleaf,Grass,Dark,/pokedex/nuzleaf,https://img.pokemondb.net/artwork/large/nuzleaf.jpg,Wily Pokémon,1.0,28.0,Chlorophyll,Early Bird,Pickpocket,120,119,Medium Slow,50% male,50% female,Field,Grass,15,70,70,40,60,40,60,340,
#2750,Shiftry-Shiftry,Grass,Dark,/pokedex/shiftry,https://img.pokemondb.net/artwork/large/shiftry.jpg,Wicked Pokémon,1.3,59.6,Chlorophyll,Early Bird,Pickpocket,45,216,Medium Slow,50% male,50% female,Field,Grass,15,90,100,60,90,60,80,480,
#2760,Taillow-Taillow,Normal,Flying,/pokedex/taillow,https://img.pokemondb.net/artwork/large/taillow.jpg,TinySwallow Pokémon,0.3,2.3,Guts,-,Scrappy,200,54,Medium Slow,50% male,50% female,Flying,—,15,40,55,30,30,30,85,270,
#2770,Swellow-Swellow,Normal,Flying,/pokedex/swellow,https://img.pokemondb.net/artwork/large/swellow.jpg,Swallow Pokémon,0.7,19.8,Guts,-,Scrappy,45,159,Medium Slow,50% male,50% female,Flying,—,15,60,85,60,75,50,125,455,
#2780,Wingull-Wingull,Water,Flying,/pokedex/wingull,https://img.pokemondb.net/artwork/large/wingull.jpg,Seagull Pokémon,0.6,9.5,Keen Eye,Hydration,Rain Dish,190,54,Medium Fast,50% male,50% female,Flying,Water 1,20,40,30,30,55,30,85,270,
#2790,Pelipper-Pelipper,Water,Flying,/pokedex/pelipper,https://img.pokemondb.net/artwork/large/pelipper.jpg,Water Bird Pokémon,1.2,28.0,Keen Eye,Drizzle,Rain Dish,45,154,Medium Fast,50% male,50% female,Flying,Water 1,20,60,50,100,95,70,65,440,
#2800,Ralts-Ralts,Psychic,Fairy,/pokedex/ralts,https://img.pokemondb.net/artwork/large/ralts.jpg,Feeling Pokémon,0.4,6.6,Synchronize,Trace,Telepathy,235,40,Slow,50% male,50% female,Amorphous,Human-Like,20,28,25,25,45,35,40,198,
#2810,Kirlia-Kirlia,Psychic,Fairy,/pokedex/kirlia,https://img.pokemondb.net/artwork/large/kirlia.jpg,Emotion Pokémon,0.8,20.2,Synchronize,Trace,Telepathy,120,97,Slow,50% male,50% female,Amorphous,Human-Like,20,38,35,35,65,55,50,278,
#2820,Gardevoir-Gardevoir,Psychic,Fairy,/pokedex/gardevoir,https://img.pokemondb.net/artwork/large/gardevoir.jpg,Embrace Pokémon,1.6,48.4,Synchronize,Trace,Telepathy,45,233,Slow,50% male,50% female,Amorphous,Human-Like,20,68,65,65,125,115,80,518,
#2821,Gardevoir-Mega Gardevoir,Psychic,Fairy,/pokedex/gardevoir,https://img.pokemondb.net/artwork/large/gardevoir-mega.jpg,Embrace Pokémon,1.6,48.4,Pixilate,-,-,45,278,Slow,50% male,50% female,Amorphous,—,20,68,85,65,165,135,100,618,
#2830,Surskit-Surskit,Bug,Water,/pokedex/surskit,https://img.pokemondb.net/artwork/large/surskit.jpg,Pond Skater Pokémon,0.5,1.7,Swift Swim,-,Rain Dish,200,54,Medium Fast,50% male,50% female,Bug,Water 1,15,40,30,32,50,52,65,269,
#2840,Masquerain-Masquerain,Bug,Flying,/pokedex/masquerain,https://img.pokemondb.net/artwork/large/masquerain.jpg,Eyeball Pokémon,0.8,3.6,Intimidate,-,Unnerve,75,159,Medium Fast,50% male,50% female,Bug,Water 1,15,70,60,62,100,82,80,454,
#2850,Shroomish-Shroomish,Grass,-,/pokedex/shroomish,https://img.pokemondb.net/artwork/large/shroomish.jpg,Mushroom Pokémon,0.4,4.5,Effect Spore,Poison Heal,Quick Feet,255,59,Fluctuating,50% male,50% female,Fairy,Grass,15,60,40,60,40,60,35,295,
#2860,Breloom-Breloom,Grass,Fighting,/pokedex/breloom,https://img.pokemondb.net/artwork/large/breloom.jpg,Mushroom Pokémon,1.2,39.2,Effect Spore,Poison Heal,Technician,90,161,Fluctuating,50% male,50% female,Fairy,Grass,15,60,130,80,60,60,70,460,
#2870,Slakoth-Slakoth,Normal,-,/pokedex/slakoth,https://img.pokemondb.net/artwork/large/slakoth.jpg,Slacker Pokémon,0.8,24.0,Truant,-,-,255,56,Slow,50% male,50% female,Field,—,15,60,60,60,35,35,30,280,
#2880,Vigoroth-Vigoroth,Normal,-,/pokedex/vigoroth,https://img.pokemondb.net/artwork/large/vigoroth.jpg,Wild Monkey Pokémon,1.4,46.5,Vital Spirit,-,-,120,154,Slow,50% male,50% female,Field,—,15,80,80,80,55,55,90,440,
#2890,Slaking-Slaking,Normal,-,/pokedex/slaking,https://img.pokemondb.net/artwork/large/slaking.jpg,Lazy Pokémon,2.0,130.5,Truant,-,-,45,252,Slow,50% male,50% female,Field,—,15,150,160,100,95,65,100,670,
#2900,Nincada-Nincada,Bug,Ground,/pokedex/nincada,https://img.pokemondb.net/artwork/large/nincada.jpg,Trainee Pokémon,0.5,5.5,Compound Eyes,-,Run Away,255,53,Erratic,50% male,50% female,Bug,—,15,31,45,90,30,30,40,266,
#2910,Ninjask-Ninjask,Bug,Flying,/pokedex/ninjask,https://img.pokemondb.net/artwork/large/ninjask.jpg,Ninja Pokémon,0.8,12.0,Speed Boost,-,Infiltrator,120,160,Erratic,50% male,50% female,Bug,—,15,61,90,45,50,50,160,456,
#2920,Shedinja-Shedinja,Bug,Ghost,/pokedex/shedinja,https://img.pokemondb.net/artwork/large/shedinja.jpg,Shed Pokémon,0.8,1.2,Wonder Guard,-,-,45,83,Erratic,Genderless,Genderless,Mineral,—,15,1,90,45,30,30,40,236,
#2930,Whismur-Whismur,Normal,-,/pokedex/whismur,https://img.pokemondb.net/artwork/large/whismur.jpg,Whisper Pokémon,0.6,16.3,Soundproof,-,Rattled,190,48,Medium Slow,50% male,50% female,Field,Monster,20,64,51,23,51,23,28,240,
#2940,Loudred-Loudred,Normal,-,/pokedex/loudred,https://img.pokemondb.net/artwork/large/loudred.jpg,Big Voice Pokémon,1.0,40.5,Soundproof,-,Scrappy,120,126,Medium Slow,50% male,50% female,Field,Monster,20,84,71,43,71,43,48,360,
#2950,Exploud-Exploud,Normal,-,/pokedex/exploud,https://img.pokemondb.net/artwork/large/exploud.jpg,Loud Noise Pokémon,1.5,84.0,Soundproof,-,Scrappy,45,221,Medium Slow,50% male,50% female,Field,Monster,20,104,91,63,91,73,68,490,
#2960,Makuhita-Makuhita,Fighting,-,/pokedex/makuhita,https://img.pokemondb.net/artwork/large/makuhita.jpg,Guts Pokémon,1.0,86.4,Thick Fat,Guts,Sheer Force,180,47,Fluctuating,75% male,25% female,Human-Like,—,20,72,60,30,20,30,25,237,
#2970,Hariyama-Hariyama,Fighting,-,/pokedex/hariyama,https://img.pokemondb.net/artwork/large/hariyama.jpg,Arm Thrust Pokémon,2.3,253.8,Thick Fat,Guts,Sheer Force,200,166,Fluctuating,75% male,25% female,Human-Like,—,20,144,120,60,40,60,50,474,
#2980,Azurill-Azurill,Normal,Fairy,/pokedex/azurill,https://img.pokemondb.net/artwork/large/azurill.jpg,Polka Dot Pokémon,0.2,2.0,Thick Fat,Huge Power,Sap Sipper,150,38,Fast,25% male,75% female,Undiscovered,—,10,50,20,40,20,40,20,190,
#2990,Nosepass-Nosepass,Rock,-,/pokedex/nosepass,https://img.pokemondb.net/artwork/large/nosepass.jpg,Compass Pokémon,1.0,97.0,Sturdy,Magnet Pull,Sand Force,255,75,Medium Fast,50% male,50% female,Mineral,—,20,30,45,135,45,90,30,375,
#3000,Skitty-Skitty,Normal,-,/pokedex/skitty,https://img.pokemondb.net/artwork/large/skitty.jpg,Kitten Pokémon,0.6,11.0,Cute Charm,Normalize,Wonder Skin,255,52,Fast,25% male,75% female,Fairy,Field,15,50,45,45,35,35,50,260,
#3010,Delcatty-Delcatty,Normal,-,/pokedex/delcatty,https://img.pokemondb.net/artwork/large/delcatty.jpg,Prim Pokémon,1.1,32.6,Cute Charm,Normalize,Wonder Skin,60,140,Fast,25% male,75% female,Fairy,Field,15,70,65,65,55,55,90,400,
#3020,Sableye-Sableye,Dark,Ghost,/pokedex/sableye,https://img.pokemondb.net/artwork/large/sableye.jpg,Darkness Pokémon,0.5,11.0,Keen Eye,Stall,Prankster,45,133,Medium Slow,50% male,50% female,Human-Like,—,25,50,75,75,65,65,50,380,
#3021,Sableye-Mega Sableye,Dark,Ghost,/pokedex/sableye,https://img.pokemondb.net/artwork/large/sableye-mega.jpg,Darkness Pokémon,0.5,161.0,Magic Bounce,-,-,45,168,Medium Slow,50% male,50% female,Human-Like,—,25,50,85,125,85,115,20,480,
#3030,Mawile-Mawile,Steel,Fairy,/pokedex/mawile,https://img.pokemondb.net/artwork/large/mawile.jpg,Deceiver Pokémon,0.6,11.5,Hyper Cutter,Intimidate,Sheer Force,45,133,Fast,50% male,50% female,Fairy,Field,20,50,85,85,55,55,50,380,
#3031,Mawile-Mega Mawile,Steel,Fairy,/pokedex/mawile,https://img.pokemondb.net/artwork/large/mawile-mega.jpg,Deceiver Pokémon,1.0,23.5,Huge Power,-,-,45,168,Fast,50% male,50% female,Fairy,Field,20,50,105,125,55,95,50,480,
